epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.4608585846764249,0.9880465917195321,24.100047544524934,275.9238856061848,275.9238856061848,0.5093653192545505,0.9896843907363871,8.873552744692944,212.2640749748717,212.2640749748717,203.39052167851875,251.82383740177673
1,0.5605607945434922,0.9909487212819617,10.067415226668654,184.90485097559858,184.90485097559858,0.5721475353583376,0.99116291517907,9.853920893466219,181.73191744215944,181.73191744215944,171.87799632295648,174.83743630392155
2,0.6091882716604788,0.9919935310211258,10.014128110388215,162.39073984086633,162.39073984086633,0.6099400952299858,0.9918984940394442,10.705311823398509,166.64935952044547,166.64935952044547,155.9440474814557,152.3766118323637
3,0.6363853692573352,0.9925764584351472,10.112990463183428,149.6389184659415,149.6389184659415,0.6432469273184208,0.9926862864101187,10.570531578774148,150.05100534317341,150.05100534317341,139.4804739444814,139.52592781132708
4,0.6535739630124549,0.9929414864953338,10.335875551986948,141.49111420062493,141.49111420062493,0.6591599391812973,0.9929959980097223,10.985101326983026,144.32044392443717,144.32044392443717,133.3353414738432,131.1552383331724
5,0.6661801628110895,0.9932061679409131,10.421777615740194,135.33033741303603,135.33033741303603,0.6750319617542815,0.9933131037557379,10.249857461198847,137.37788230814832,137.37788230814832,127.12802539987767,124.90856014218802
6,0.678229359933376,0.9934632940330328,10.571723865212869,129.54342485312682,129.54342485312682,0.6760956733784778,0.9933738719592703,11.348848289631782,137.58163683465187,137.58163683465187,126.23278824826504,118.97170120370886
7,0.6867444530653495,0.9936358507057651,10.763784385154638,125.88561701885342,125.88561701885342,0.6668716651645112,0.9931332789202953,10.120564853891413,141.35700428739509,141.35700428739509,131.2364401715867,115.12183279886733
8,0.695684138124323,0.9938227731657883,10.84060459415408,121.69924733871328,121.69924733871328,0.7020375107197051,0.9939001047230781,11.282165410670828,127.69774812333127,127.69774812333127,116.41558267715129,110.85864301351181
9,0.7005113756015907,0.9939173675564321,11.033156571517974,119.80194966114351,119.80194966114351,0.7055950404164639,0.9939713276764179,11.343115352569743,127.13630290741617,127.13630290741617,115.79318799363806,108.76879302127992
10,0.7061124260882787,0.9940312339046101,11.112972058281649,117.28554074212107,117.28554074212107,0.7168853631679047,0.9942039598492866,11.27096799079408,122.42388751658987,122.42388751658987,111.15291903881317,106.17256904708366
11,0.7107280247956613,0.9941274104485388,11.38648428850484,115.64038078849808,115.64038078849808,0.7143349852016632,0.9941430622909931,11.942362970494209,124.63531753864694,124.63531753864694,112.69295448952533,104.25389652467359
12,0.7165223568104401,0.9942487587814862,11.300032411257638,112.74150521848561,112.74150521848561,0.7182758607445879,0.9942263331502041,12.232964269658352,123.58128990011012,123.58128990011012,111.34832508005995,101.44147292999693
13,0.7184694589726879,0.9942847945552514,11.4553298773003,112.18778145226248,112.18778145226248,0.7232220894161691,0.9943405161512658,11.170703882866718,121.00049106110917,121.00049106110917,109.82978736593368,100.73245168380889
14,0.7217552854513284,0.994352780949935,11.530792905229088,110.90305893359472,110.90305893359472,0.7274973390901343,0.9943917014814437,11.874424916632632,120.77350048308676,120.77350048308676,108.8990761371369,99.37226592774572
15,0.7256465435186283,0.9944312127916403,11.581295128602735,109.31485425801014,109.31485425801014,0.718549574626253,0.994218517174112,12.011504249369844,125.54190844677865,125.54190844677865,113.53040410102682,97.73355915851758
16,0.7269837390371878,0.9944569094733204,11.724169487500713,108.78731742914576,108.78731742914576,0.7334052446357747,0.9945721478855356,11.758399785833156,117.71891462041977,117.71891462041977,105.96051483965934,97.06314758219779
17,0.727509799388045,0.9944646112872974,11.74714187604351,108.74284236733298,108.74284236733298,0.7371882149513732,0.9946222000933708,11.60201837154145,117.86766813156453,117.86766813156453,106.26564920709488,96.99570032485526
18,0.7289508053539759,0.9944917732465323,11.907715472149865,108.4638072964998,108.4638072964998,0.7367780826827313,0.9946007260933836,12.326275579472805,118.01004350946305,118.01004350946305,105.68376842458197,96.55609198951848
19,0.735929188739407,0.9946443808339808,11.804819859490145,104.99229934884762,104.99229934884762,0.7416233778633969,0.9947212473192113,11.778927896885161,115.01040288235279,115.01040288235279,103.23147525178625,93.18747967857355
20,0.7356791942817293,0.9946386724730241,11.928866195299014,105.15138092749785,105.15138092749785,0.7319517425717191,0.9944772912149734,12.883197642387227,121.22209841139774,121.22209841139774,108.33890068784673,93.22251483788139
21,0.7379452090589274,0.9946861548699047,11.921267221522948,104.2699528411278,104.2699528411278,0.7411959237874822,0.9947005556301868,11.625786365346706,116.50510913767714,116.50510913767714,104.87932283320326,92.34868546139744
22,0.7354717132423442,0.9946292665673948,12.01480016727359,105.77709902210907,105.77709902210907,0.7313551154542477,0.9944897309896794,12.008920167354827,121.88123634013724,121.88123634013724,109.87231684745626,93.76229870295636
23,0.7399531076028795,0.994723181417626,12.030652838506363,103.4731048351103,103.4731048351103,0.7451335535721576,0.9947654558940137,12.184822774947957,115.79233504356222,115.79233504356222,103.60751204795025,91.4424517225887
24,0.7400124504934816,0.9947219489422869,12.103784351057776,103.75030049031035,103.75030049031035,0.749243972783393,0.9948473495054753,12.695719044259254,114.6765470098942,114.6765470098942,101.98082787939843,91.64651614558088
25,0.7436151133124688,0.9947985275027447,12.115255315333862,101.88763954754926,101.88763954754926,0.7524462367625947,0.9949149034441785,12.538651983788673,112.88498145975966,112.88498145975966,100.34632941509815,89.77238428410743
26,0.7432766790886786,0.9947884076070375,12.172302877024933,102.27786445997374,102.27786445997374,0.7468372672162158,0.9948135939367274,11.995789213383452,115.1050446490024,115.1050446490024,103.10925556751008,90.10556173039812
27,0.7428822111197474,0.9947758329254788,12.279556237709942,102.6067151991674,102.6067151991674,0.7406410440168483,0.9946473849580643,12.888552495773803,119.68402503399139,119.68402503399139,106.79547188129831,90.32715879565608
28,0.742866366646823,0.9947715637378528,12.281766926917953,102.80016243877044,102.80016243877044,0.7358552136636795,0.9945459892141059,12.934147586213781,122.02209022197317,122.02209022197317,109.08794323941494,90.51839552577474
