epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.6892277598581447,0.9887315234468856,37.52308668223812,449.5452460399019,449.5452460399019,0.7687856860138013,0.9936964876914138,19.993415079618757,219.00907677098326,219.00907677098326,199.01566199708785,412.0221614256207
1,0.7551726878081263,0.9917662170427828,19.447046690904944,297.2642004146451,297.2642004146451,0.8196950775869726,0.9949946390669882,18.119986908287522,178.68123623058557,178.68123623058557,160.5612495641389,277.8171536570456
2,0.7808708085389602,0.9926358522302864,19.37015295912246,264.7957035481965,264.7957035481965,0.8427560356530276,0.9954143714106254,18.66504106567237,164.69038690448377,164.69038690448377,146.02534495814567,245.4255501062515
3,0.7973265993830264,0.9931930787750012,18.85836975658574,243.0487252718235,243.0487252718235,0.8442726052548897,0.9955940675792512,18.671781261571855,159.0426330931449,159.0426330931449,140.37085150759756,224.19035565546724
4,0.807662321398234,0.9935351082898155,18.57013641284457,228.65690677549335,228.65690677549335,0.8616053280933051,0.9960011028501976,17.638970174287493,145.72909584227932,145.72909584227932,128.09012583682411,210.08677049945803
5,0.8155105593171721,0.9937963695206902,18.37247690382078,217.84263913188235,217.84263913188235,0.8655968692028921,0.996108017754897,17.958039753745048,142.18748999782727,142.18748999782727,124.22944966001374,199.47016158847842
6,0.8219930830645974,0.9940113413497779,18.2914745811923,209.01197861000512,209.01197861000512,0.8743694859543486,0.9962835588523645,17.26098969792635,136.98818075371702,136.98818075371702,119.72719051050798,190.7205046421742
7,0.8268331537970653,0.9941765902930224,18.268394186335698,202.11954764612977,202.11954764612977,0.8626757649143347,0.9962484716798701,18.308810001355038,140.048667798202,140.048667798202,121.73985754131701,183.851153517938
8,0.8312900481791249,0.9943229051955931,18.283276029496726,196.06518510452517,196.06518510452517,0.8771137783401891,0.9965131117396377,18.165319693715947,132.85366775658713,132.85366775658713,114.6883469449276,177.7819087957096
9,0.8335722910025415,0.9943978274859002,18.45431019144007,192.84634805737466,192.84634805737466,0.8799505521806233,0.9960688450975281,19.052938689455463,145.3781870609265,145.3781870609265,126.325248754766,174.3920374686178
10,0.8366110194819599,0.9944976749209252,18.45475788367272,188.64685472669674,188.64685472669674,0.880918488405538,0.9965093592137241,17.603022550281725,131.72797269684276,131.72797269684276,114.12494977923672,170.19209701346554
11,0.8385770854947101,0.9945652722172301,18.499239631990296,185.89162159593107,185.89162159593107,0.8761148187532379,0.9964005964224418,19.43151563890813,137.01314055520382,137.01314055520382,117.58162520376689,167.39238204545626
12,0.8402693079605262,0.9946143373143367,18.584715461844965,183.65839621754228,183.65839621754228,0.8827664807937933,0.9965253014598737,17.324357815336384,132.53297928075472,132.53297928075472,115.20862146769984,165.07368058810601
13,0.842292620725284,0.9946836257721946,18.704727684176046,181.07300821180053,181.07300821180053,0.8706602598206278,0.9964938709895577,17.7786960647437,133.52358891975365,133.52358891975365,115.74489254016055,162.36828041418684
14,0.8438396463833094,0.9947379439516973,18.702342714012133,178.87529514766496,178.87529514766496,0.8863988838127356,0.9964975988465633,18.81415192362224,134.0310467624208,134.0310467624208,115.21689519927833,160.17295234073654
15,0.8458849958011082,0.9948045845453567,18.754698800670123,176.2257038396914,176.2257038396914,0.8907088242364272,0.9966847659868486,17.747212261674505,128.48386917844343,128.48386917844343,110.7366568095376,157.47100526817673
16,0.8470867260871928,0.9948432107778346,18.827016153238663,174.71986935485,174.71986935485,0.88830758310391,0.9967089199848722,18.566937533291902,129.20496165809448,129.20496165809448,110.63802391490297,155.8928531389071
