epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.42167386890171055,0.48848190550949977,7.268417718562674,254.25230805417326,254.25230805417326,0.6597965613324591,0.6994585876769208,5.439649977582566,152.5780866906998,152.5780866906998,147.1384394219581,246.983889559482
1,0.7657736241817474,0.7949076260023928,5.533847907756237,111.64612997339127,111.64612997339127,0.7592912836277739,0.7871438049255534,6.536506744141274,117.84975368418593,117.84975368418593,111.31324686902634,106.11228220513526
2,0.7961733512421871,0.8215639258318759,5.627517942418444,97.98576967766944,97.98576967766944,0.778335505343498,0.8042933116567895,7.220688627121296,109.19022077195187,109.19022077195187,101.96953193177568,92.35825209921978
3,0.8062316239514249,0.8303144006653035,5.4599959076719085,92.71767916577927,92.71767916577927,0.7751286029815674,0.8013440357877853,5.386988873177386,104.74203442512675,104.74203442512675,99.35504588674992,87.25768381484012
4,0.8155317442848328,0.8384878429326605,5.116701015766631,87.86099230989497,87.86099230989497,0.7894127901564253,0.8138630314076201,5.73878344069136,100.0892480079164,100.0892480079164,94.35046435417013,82.74429114321445
5,0.8226535948033028,0.8447425907596628,5.243019753314079,84.92968409112159,84.92968409112159,0.7947013872735044,0.8185315347732381,5.288671929785546,98.59819809933926,98.59819809933926,93.30952632173579,79.68666458129883
6,0.8265473439972452,0.8481394873654589,5.026920279289814,83.05824949386272,83.05824949386272,0.8015225593079912,0.8245298215683471,5.523842405765615,96.25609653554064,96.25609653554064,90.73225354133768,78.03132941875052
7,0.831121139703913,0.852127657291737,5.179701280086599,81.33967123640345,81.33967123640345,0.8141779405005435,0.8357712778639286,5.639201600500878,92.02350892411901,92.02350892411901,86.3843070496904,76.15996965448907
8,0.8344549948864795,0.8550341931429315,5.107560076612107,79.66141615522669,79.66141615522669,0.8219139512549055,0.842833399772644,5.958526459146054,89.16691378329662,89.16691378329662,83.20838700964096,74.55385605832363
9,0.8385547317088918,0.8586471775110732,5.112064531508913,77.97346707607838,77.97346707607838,0.8177713447428764,0.8389247744641406,5.711582021510347,90.84263140089969,90.84263140089969,85.13105043451837,72.86140289712459
10,0.8408416867890256,0.8606098034280412,5.300840795040131,77.2457809854061,77.2457809854061,0.8258165197169527,0.8461151173774232,6.520982011835626,88.83451437442861,88.83451437442861,82.31353305248504,71.94493989741548
11,0.8440091812864263,0.8634047295818937,5.252439671374382,75.89799203263952,75.89799203263952,0.8304167161596582,0.8501139803135649,6.032610781649326,86.14998350752161,86.14998350752161,80.11737352736453,70.64555229024684
12,0.8457615423075696,0.8649363597022727,5.182728503612762,74.92905048613852,74.92905048613852,0.8248573719186986,0.8452175132771755,5.596047218809736,87.28042407746011,87.28042407746011,81.68437681806849,69.74632163757974
13,0.8480034822479208,0.8668871109789991,5.392221925106455,74.29014772049923,74.29014772049923,0.8350847021062323,0.8542363250509222,6.113393408186893,84.48646172056807,84.48646172056807,78.37306830223571,68.89792592474755
14,0.849161942905568,0.867864266672033,5.444776836861956,73.65075212843875,73.65075212843875,0.8316918687617525,0.8512063089837419,5.63474521231144,84.82703497054729,84.82703497054729,79.192290772783,68.2059753296223
15,0.8507932453079426,0.869334154940666,5.477043443537773,72.92837469628516,72.92837469628516,0.8341881810350621,0.8534242003522021,6.586023371270362,86.61322914285863,86.61322914285863,80.02720495995055,67.45133144297499
16,0.8521051099325748,0.8704846612316497,5.550378659938244,72.3700730141173,72.3700730141173,0.8381585288555065,0.8569148918415638,6.260349182372398,82.71852176747423,82.71852176747423,76.45817168215488,66.81969466107957
17,0.8532259851060016,0.8714570669417686,5.534374303006111,72.00341218583127,72.00341218583127,0.8364129053785446,0.8553238980313564,6.062785016729476,83.53000364912317,83.53000364912317,77.46721811497466,66.46903772557036
18,0.8545964242930107,0.8726645612970312,5.611279107154684,71.42405305010207,71.42405305010207,0.842329887633628,0.8605860573180178,6.634912277789826,82.84417010368185,82.84417010368185,76.20925773458278,65.81277411034766
19,0.8552624513494208,0.8732356562259349,5.685026178968713,70.90022594370741,70.90022594370741,0.842864233128568,0.861094224960246,6.042368919291395,81.7183131765812,81.7183131765812,75.67594244125041,65.21520011983019
20,0.8565135138466003,0.8743398554147558,5.671410093916223,70.41903656087023,70.41903656087023,0.842298595195121,0.860529066400325,6.38085189778754,82.12238977310506,82.12238977310506,75.74153664771546,64.747626466954
21,0.8566196890587502,0.8744372164315366,5.71115370506936,70.19312777417771,70.19312777417771,0.8423856509492752,0.8606003040963031,6.959664730315513,82.60540966277426,82.60540966277426,75.64574302511012,64.48197456116372
22,0.8581293570868512,0.8757788764035448,5.770994173719528,69.59002606412197,69.59002606412197,0.844821422658068,0.8628846863482861,6.881161608594529,81.46913633955286,81.46913633955286,74.58797747023563,63.81903189801155
23,0.8588090177546156,0.8763238495968758,5.823783265783431,69.34804179820608,69.34804179820608,0.8458604799940231,0.8638440357877853,6.642569470912852,80.8889208854513,80.8889208854513,74.24635193195749,63.524258593295485
24,0.8590645802781937,0.8765826824497669,5.8773233586169304,69.22418450294657,69.22418450294657,0.84022057056427,0.8587433505565563,6.258508012649861,82.33697574696642,82.33697574696642,76.07846759227996,63.34686125085709
25,0.8602350569785909,0.8776132714875201,5.897354339031463,68.82928698113624,68.82928698113624,0.8470476409222217,0.8647273918415638,6.56780404232918,79.75280420830909,79.75280420830909,73.18500064281707,62.931931860903475
